Entity,Code,Year,poultry,beef and buffalo,sheep and goat,pig,Other,Fish and seafood,meat_total,air_passengers_2021,co2_total_2023,co2_per_capita_2023,geo_id,geo_name
Croatia,HRV,2022.0,20.15702,14.916608,1.7846287,59.20222,1.0831561,20.982283,118.12,767762.0,17524080.0,4.497998,191,Croatia
Cuba,CUB,2022.0,30.210684,8.201491,1.7031525,19.069227,2.3114214,6.21448,67.7,22359.0,23097436.0,2.0959787,192,Cuba
Cyprus,CYP,2022.0,27.345592,7.7082796,3.891741,32.337173,0.47001708,18.142658,89.9,103016.0,7174221.0,5.3342433,196,Cyprus
Czechia,CZE,2022.0,23.469276,10.599028,0.28513154,46.48627,0.81606615,10.500707,92.17,1418032.0,85624184.0,7.92107,203,Czechia
Democratic Republic of Congo,COD,2022.0,0.98626417,0.3094162,0.20305438,0.71552503,1.6727815,3.3939092,7.279999999999999,392102.22,4615953.0,0.0436333,180,Dem. Rep. Congo
Denmark,DNK,2022.0,17.767818,21.85352,0.717489,25.65023,0.8071751,22.73045,89.53000000000002,,27264778.0,4.5837965,208,Denmark
Djibouti,DJI,2022.0,3.933146,5.7666426,3.9922912,0.1281476,0.63088053,3.7458532,18.200000000000003,,492543.0,0.42721647,262,Djibouti
Dominican Republic,DOM,2022.0,36.843876,6.248962,0.19996677,14.437601,0.029995015,8.198638,65.96000000000001,69447.0,32019646.0,2.8257916,214,Dominican Rep.
East Timor,TLS,2022.0,5.3191595,1.5379523,0.4897937,10.079954,11.745253,7.0432334,36.22,,632121.0,0.45665762,626,Timor-Leste
Eastern Africa (FAO),NAN,2022.0,2.46,5.68,1.59,1.65,0.94,5.69,18.01,,,,,
Eastern Asia (FAO),NAN,2022.0,18.29,8.52,3.5,38.3,0.82,41.7,111.13,,,,,
Eastern Europe (FAO),NAN,2022.0,29.62,09.01,01.03,33.26,2.18,17.22,92.32,,,,,
Ecuador,ECU,2022.0,29.066032,12.422244,0.40397543,11.361809,0.57566494,6.504004,60.33,1534854.0,43172870.0,2.4011562,218,Ecuador
Egypt,EGY,2022.0,23.455929,6.9086585,0.56175965,0.009855432,0.955977,20.84424,52.74,5563387.0,269006200.0,2.3486664,818,Egypt
El Salvador,SLV,2022.0,28.310747,9.726145,0.020178722,5.2464676,0.0,7.2542505,50.56,1412026.0,8230260.0,1.304408,222,El Salvador
Estonia,EST,2022.0,20.882402,8.653526,0.39289564,37.38402,0.3830732,12.867332,80.55000000000001,,10018740.0,7.3282313,233,Estonia
Eswatini,SWZ,2022.0,6.1519294,15.527707,1.7844539,1.9717723,0.29576588,3.8252385,29.56,13338.0,1104210.0,0.8973983,748,eSwatini
Ethiopia,ETH,2022.0,0.39360586,3.2767687,1.7810664,0.019680291,1.013535,0.5116876,6.989999999999999,7065954.0,15227142.0,0.118322685,231,Ethiopia
Europe,NAN,2022.0,25.9166,13.625675,1.6665604,34.60582,1.5021361,21.77671,99.11,,4993221000.0,6.688105,,
Europe (FAO),NAN,2022.0,26.05,13.71,1.67,34.79,1.51,21.9,99.63,,,,,
European Union (27),NAN,2022.0,22.53267,13.954762,1.4345396,39.644978,0.95610845,23.042715,101.55,300510400.0,2510622000.0,5.571036,,
European Union (27) (FAO),NAN,2022.0,22.62,14.01,1.44,39.8,0.96,23.13,101.96,,,,,
Fiji,FJI,2022.0,37.559803,4.591317,6.411663,3.8732917,0.05056517,29.317682,81.8,133708.0,1146151.0,1.2402701,242,Fiji
Finland,FIN,2022.0,23.548855,17.251253,0.44769683,29.209734,0.79590553,31.67704,102.94,2805555.0,31622000.0,5.6456437,246,Finland
France,FRA,2022.0,23.9873,22.64167,2.3792284,32.889904,0.5948071,32.72414,115.21,32000528.0,272475840.0,4.101157,250,France
Gabon,GAB,2022.0,37.682068,5.0321383,0.6585025,7.833231,13.081594,27.627619,91.91,,5410930.0,2.1776652,266,Gabon
Gambia,GMB,2022.0,20.599585,1.4677331,0.66715145,0.60556823,0.61583215,20.64064,44.61,,710899.0,0.26351094,270,Gambia
Georgia,GEO,2022.0,18.93544,7.1834292,1.3222246,12.136837,0.118408166,10.370583,50.06999999999999,84591.0,11768941.0,3.091041,268,Georgia
Germany,DEU,2022.0,16.36935,13.930308,0.74361074,38.628098,1.0311402,13.04789,83.75,33073180.0,596151360.0,7.051025,276,Germany
Ghana,GHA,2022.0,9.664336,1.474392,1.8783351,1.3027163,3.6051915,24.075005,42.0,559393.0,19647176.0,0.5814861,288,Ghana
Greece,GRC,2022.0,26.16083,14.760972,8.537427,27.31777,1.9348842,19.308947,98.02,8726345.0,55196200.0,5.388754,300,Greece
Guatemala,GTM,2022.0,29.023628,11.677437,0.12997146,5.0588894,0.14996707,3.3792582,49.42000000000001,1766.181,20382320.0,1.1245548,320,Guatemala
Guinea,GIN,2022.0,4.5655212,5.2064695,2.1200585,0.374708,0.46345463,10.915835,23.65,,4042787.0,0.28064337,324,Guinea
Guinea-Bissau,GNB,2022.0,2.9401271,3.650158,1.0500454,6.060262,0.0,2.4001038,16.099999999999998,,298003.0,0.13839415,624,Guinea-Bissau
Guyana,GUY,2022.0,64.78006,3.1499195,1.0434108,7.2251277,0.13780898,24.904049,101.24,7512.0,3545070.0,4.290242,328,Guyana
Haiti,HTI,2022.0,9.990235,4.3405156,0.59417725,4.078675,0.8358765,4.9447637,24.78,23119.0,3522026.0,0.3026484,332,Haiti
High-income countries,NAN,2022.0,35.461143,20.2728,1.7011608,31.580315,1.1727914,25.734749,115.91,1345746300.0,14014304000.0,9.956884,,
Honduras,HND,2022.0,25.863235,6.2115636,0.02991122,7.1687226,0.049852036,4.4667425,43.79,271314.0,11042214.0,1.0373338,340,Honduras
Hungary,HUN,2022.0,24.38241,5.557831,0.11321507,48.45605,0.37052205,6.350336,85.22999999999999,20127200.0,40190156.0,4.1491246,348,Hungary
Iceland,ISL,2022.0,30.140106,15.687759,14.5994215,20.276428,10.902992,85.40024,177.01000000000002,1499034.0,3762450.0,9.708997,352,Iceland
India,IND,2022.0,3.4698007,2.1872668,0.57664305,0.2187267,0.1391897,8.80872,15.41,83964800.0,3062324500.0,2.129469,356,India
Indonesia,IDN,2022.0,14.623294,2.9543004,0.41498533,0.92877674,0.009880603,40.75749,59.68,33549828.0,733223940.0,2.6075745,360,Indonesia
Iran,IRN,2022.0,24.31268,3.867477,3.3036757,0.0,0.089021206,11.434279,43.0,13695897.0,817879900.0,9.026508,364,Iran
Iraq,IRQ,2022.0,14.219769,3.1522508,1.2816844,0.3550612,0.06928024,2.320888,21.4,1620013.0,176457950.0,3.9148493,368,Iraq
Ireland,IRL,2022.0,30.65002,23.22835,4.1482706,28.615206,2.4869967,19.591242,108.73,74065210.0,34432788.0,6.6260405,372,Ireland
Israel,ISR,2022.0,70.32592,35.843082,5.0637045,1.1418157,0.009928832,25.159662,137.54000000000002,2437207.0,59489496.0,6.4269466,376,Israel
Italy,ITA,2022.0,20.111874,16.061771,0.85161066,34.61896,1.2080988,29.331055,102.18,2449339.0,313460640.0,5.2682986,380,Italy
Jamaica,JAM,2022.0,55.440224,5.278125,1.1751297,2.7486084,0.009958725,27.476126,92.14,,7648698.0,2.6934605,388,Jamaica
Japan,JPN,2022.0,27.666561,9.400681,0.14874497,22.579485,0.118995965,44.980476,104.9,45410144.0,988784700.0,7.95029,392,Japan
Jordan,JOR,2022.0,26.67008,6.837968,4.3915396,0.010026345,0.09023711,4.842725,42.84,1695302.0,21188884.0,1.8523093,400,Jordan
Kazakhstan,KAZ,2022.0,21.126701,24.041063,8.239608,7.755494,6.79695,3.5243444,71.49,8765001.0,255161470.0,12.550943,398,Kazakhstan
Kenya,KEN,2022.0,2.0614183,4.909561,1.9419159,0.36846608,1.6232425,2.917853,13.82,2459106.0,21531040.0,0.38907567,404,Kenya
Kuwait,KWT,2022.0,48.618683,11.03152,13.896367,0.31624934,2.781134,13.673132,90.32,2182888.0,99233390.0,20.508173,414,Kuwait
Kyrgyzstan,KGZ,2022.0,7.197098,14.746901,9.380058,1.3440937,3.6986408,1.4775498,37.85,171347.34,10152343.0,1.4352694,417,Kyrgyzstan
Land Locked Developing Countries (FAO),NAN,2022.0,05.05,10.27,3.81,2.52,1.35,4.92,27.92,,,,,
Laos,LAO,2022.0,6.3152733,9.164119,0.39843994,13.646568,0.30879095,25.111677,54.95,157293.0,24796292.0,3.235021,418,Laos
Latvia,LVA,2022.0,28.817162,5.5883055,0.35418838,47.293987,0.25580272,24.507868,106.82,1598685.0,6512889.0,3.4600034,428,Latvia
Least Developed Countries (FAO),NAN,2022.0,3.55,3.78,02.06,1.83,0.85,11.29,23.36,,,,,
Lebanon,LBN,2022.0,22.524939,13.780637,1.2710296,0.9078783,0.009556613,4.7687497,43.25999999999999,1603134.0,19475458.0,3.3732815,422,Lebanon
Lesotho,LSO,2022.0,1.0288179,2.0576358,0.51440895,5.1037436,2.5922177,1.9466848,13.239999999999998,,3888782.0,1.6824147,426,Lesotho
Liberia,LBR,2022.0,12.819395,0.5329079,0.3848779,4.8060393,1.559249,4.855383,24.96,,771001.0,0.14036113,430,Liberia
Libya,LBY,2022.0,32.638844,3.7533257,5.65828,0.047152333,0.80158967,18.82321,61.71999999999999,968476.44,60975930.0,8.346452,434,Libya
Lithuania,LTU,2022.0,25.92018,4.930204,0.37098563,47.700943,0.5369529,28.888065,108.35,11289.0,12461681.0,4.366298,440,Lithuania
Low Income Food Deficit Countries (FAO),NAN,2022.0,3.51,5.92,2.66,1.52,1.29,5.67,20.57,,,,,
Low-income countries,NAN,2022.0,2.546381,3.5782015,2.670824,1.5347564,1.1106799,4.693632,16.13,11917901.0,196579700.0,0.26692328,,
