Entity,Code,Year,poultry,beef and buffalo,sheep and goat,pig,Other,Fish and seafood,meat_total,air_passengers_2021,co2_total_2023,co2_per_capita_2023,geo_id,geo_name
United Arab Emirates,ARE,2022.0,50.929577,12.840707,9.052098,0.60838956,3.2631803,24.01295,100.7,28422616.0,229383650.0,21.554457,784,United Arab Emirates
United Kingdom,GBR,2022.0,35.15097,17.129908,4.059689,25.9127,1.0000699,17.832928,101.08,26631932.0,305146340.0,4.4428277,826,United Kingdom
United States,USA,2022.0,53.03144,37.648952,0.68344593,29.57637,0.7824961,22.06837,143.79000000000002,666153000.0,4911391000.0,14.299027,840,United States of America
Upper-middle-income countries,NAN,2022.0,22.717155,10.926574,2.9090564,24.527426,0.6373501,29.486935,91.22,768693900.0,17581070000.0,6.1474814,,
Uruguay,URY,2022.0,23.882772,15.585377,1.9380779,21.510647,1.5242176,11.911104,76.35,,7865945.0,2.3216877,858,Uruguay
Uzbekistan,UZB,2022.0,6.323162,30.476055,4.757238,0.17839643,0.28741646,3.8652558,45.89999999999999,2010914.0,124768440.0,3.4995937,860,Uzbekistan
Vanuatu,VUT,2022.0,16.868633,8.079407,0.12526213,11.795517,0.03131553,30.75185,67.66,128164.0,226164.0,0.7059308,548,Vanuatu
Venezuela,VEN,2022.0,15.929948,14.003908,0.3410694,6.7812624,0.010031452,10.282239,47.34,265276.0,99568900.0,3.5182343,862,Venezuela
Vietnam,VNM,2022.0,14.725969,5.2304277,0.19700293,32.298634,0.29550442,40.3265,93.09,14754847.0,334726080.0,3.335515,704,Vietnam
Western Africa (FAO),NAN,2022.0,3.74,2.23,1.95,1.79,1.6,10.42,21.73,,,,,
Western Asia (FAO),NAN,2022.0,24.42,10.9,5.9,0.61,0.53,7.29,49.65,,,,,
Western Europe (FAO),NAN,2022.0,19.12,17.54,1.38,35.78,01.07,21.41,96.29999999999998,,,,,
World,,2022.0,16.881916,9.332608,2.011167,15.128336,0.7826709,20.052227,64.18,2279974700.0,37791570000.0,4.6703916,,
Yemen,YEM,2022.0,7.9871445,2.0188255,4.0464673,0.008815832,0.0793425,2.203958,16.349999999999998,52034.895,10034892.0,0.2547525,887,Yemen
Zambia,ZMB,2022.0,4.906854,8.989277,0.814498,1.2118142,2.0461779,13.260426,31.230000000000004,136609.95,7748922.0,0.37391192,894,Zambia
Zimbabwe,ZWE,2022.0,7.2923894,45.11531,1.9906801,0.70080066,2.3867848,2.6813242,60.17,75638.12,11164030.0,0.68320066,716,Zimbabwe
Brunei,BRN,,,,,,,,,27881.0,11769600.0,25.646858,96,Brunei
East Asia and Pacific (WB),NAN,,,,,,,,,632631230.0,,,,
Equatorial Guinea,GNQ,,,,,,,,,31268.0,6141370.0,3.3241498,226,Eq. Guinea
Europe and Central Asia (WB),NAN,,,,,,,,,524360540.0,,,,
Latin America and Caribbean (WB),NAN,,,,,,,,,187704370.0,,,,
Middle East and North Africa (WB),NAN,,,,,,,,,116029650.0,,,,
Middle-income countries,NAN,,,,,,,,,922045250.0,,,,
North America (WB),NAN,,,,,,,,,691104000.0,,,,
North Korea,PRK,,,,,,,,,523.761,60764244.0,2.3000948,408,North Korea
South Asia (WB),NAN,,,,,,,,,96661880.0,,,,
Sub-Saharan Africa (WB),NAN,,,,,,,,,31483072.0,,,,
Africa (GCP),NAN,,,,,,,,,,1418728100.0,,,
Antarctica,ATA,,,,,,,,,,0.0,,10,Antarctica
Asia (GCP),NAN,,,,,,,,,,19747367000.0,,,
Asia (excl. China and India),NAN,,,,,,,,,,7635394000.0,3.9850643,,
Central America (GCP),NAN,,,,,,,,,,179595380.0,,,
Eritrea,ERI,,,,,,,,,,620764.0,0.17887679,232,Eritrea
Europe (GCP),NAN,,,,,,,,,,4993221000.0,,,
Europe (excl. EU-27),NAN,,,,,,,,,,2482599200.0,8.389255,,
Europe (excl. EU-28),NAN,,,,,,,,,,2177452800.0,9.582038,,
European Union (28),NAN,,,,,,,,,,2815768300.0,5.4218297,,
Greenland,GRL,,,,,,,,,,596405.0,10.670095,304,Greenland
International aviation,NAN,,,,,,,,,,523411550.0,,,
International shipping,NAN,,,,,,,,,,593157760.0,,,
Kosovo,,,,,,,,,,,8376729.0,4.9275312,,Kosovo
Kuwaiti Oil Fires (GCP),NAN,,,,,,,,,,0.0,,,
Middle East (GCP),NAN,,,,,,,,,,2861176300.0,,,
Non-OECD (GCP),NAN,,,,,,,,,,25442200000.0,,,
North America (GCP),NAN,,,,,,,,,,5943965700.0,,,
North America (excl. USA),NAN,,,,,,,,,,1212158700.0,4.64198,,
OECD (GCP),NAN,,,,,,,,,,11232802000.0,,,
Oceania (GCP),NAN,,,,,,,,,,421980640.0,,,
Palestine,PSE,,,,,,,,,,3496897.0,0.64647776,275,Palestine
Ryukyu Islands (GCP),NAN,,,,,,,,,,0.0,,,
South America (GCP),NAN,,,,,,,,,,1108965000.0,,,
